refund_id,order_id,promo_name,product_name,order_time,refund_time,original_quantity,refund_quantity,avg_actual_unit_price,refund_amount,refund_reason
TK202301071008520046,20230107100744497773,年货节,唇釉,2023-01-07 10:07:44.235043,2023-01-07 10:08:52.990179,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301071012090047,20230107101049219431,年货节,唇釉,2023-01-07 10:10:49.214183,2023-01-07 10:12:09.735408,5,1,92.0,92.0,优惠券未领到/不满足门槛
TK202301071029310048,20230107082849830178,年货节,唇釉,2023-01-07 08:28:49.156787,2023-01-07 10:29:31.702037,2,2,82.5,165.0,地址/收件信息需修改
TK202301071033280049,20230107100533476782,年货节,唇釉,2023-01-07 10:05:33.291692,2023-01-07 10:33:28.031376,3,3,80.0,240.0,拍错/改变主意/重复下单
TK202301071043590050,20230107104307538390,年货节,唇釉,2023-01-07 10:43:07.521594,2023-01-07 10:43:59.270585,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301071049430051,20230107093011107333,年货节,唇釉,2023-01-07 09:30:11.268989,2023-01-07 10:49:43.147084,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301071059380052,20230107100208584143,年货节,唇釉,2023-01-07 10:02:08.542125,2023-01-07 10:59:38.821531,6,2,95.0,190.0,拍错/改变主意/重复下单
TK202301071110010053,20230107110912757651,年货节,唇釉,2023-01-07 11:09:12.403382,2023-01-07 11:10:01.389351,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301071123170054,20230107020051399722,年货节,唇釉,2023-01-07 02:00:51.504121,2023-01-07 11:23:17.261111,2,1,82.5,82.5,忘记使用优惠/凑单重拍
TK202301071123440055,20230107112030620219,年货节,唇釉,2023-01-07 11:20:30.989037,2023-01-07 11:23:44.351682,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301071136170056,20230107111214116558,年货节,唇釉,2023-01-07 11:12:14.395050,2023-01-07 11:36:17.503049,1,1,90.0,90.0,地址/收件信息需修改
TK202301071152360057,20230107110107772685,年货节,唇釉,2023-01-07 11:01:07.045434,2023-01-07 11:52:36.855037,2,2,82.5,165.0,忘记使用优惠/凑单重拍
TK202301071209110058,20230107061342910766,年货节,唇釉,2023-01-07 06:13:42.204084,2023-01-07 12:09:11.904591,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071216020059,20230107121122481750,年货节,唇釉,2023-01-07 12:11:22.151634,2023-01-07 12:16:02.740322,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071300580060,20230107035527536693,年货节,唇釉,2023-01-07 03:55:27.279385,2023-01-07 13:00:58.743930,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301071308070061,20230107121543884911,年货节,唇釉,2023-01-07 12:15:43.970636,2023-01-07 13:08:07.153270,2,2,82.5,165.0,忘记使用优惠/凑单重拍
TK202301071330490062,20230107083357327345,年货节,唇釉,2023-01-07 08:33:57.662634,2023-01-07 13:30:49.127157,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071402010063,20230107135926117006,年货节,唇釉,2023-01-07 13:59:26.145140,2023-01-07 14:02:01.435447,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301071402540064,20230107130525147812,年货节,唇釉,2023-01-07 13:05:25.777290,2023-01-07 14:02:54.846221,2,2,82.5,165.0,地址/收件信息需修改
TK202301071431200065,20230107142849109695,年货节,唇釉,2023-01-07 14:28:49.806211,2023-01-07 14:31:20.300480,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301071440480066,20230107143720477944,年货节,唇釉,2023-01-07 14:37:20.079219,2023-01-07 14:40:48.772088,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301071505040067,20230107141821570548,年货节,唇釉,2023-01-07 14:18:21.150400,2023-01-07 15:05:04.456301,2,1,82.5,82.5,其他
TK202301071509160068,20230107150800946347,年货节,唇釉,2023-01-07 15:08:00.176899,2023-01-07 15:09:16.761016,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071556430069,20230107154110683061,年货节,唇釉,2023-01-07 15:41:10.385545,2023-01-07 15:56:43.089172,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071610360070,20230107160646677439,年货节,唇釉,2023-01-07 16:06:46.520981,2023-01-07 16:10:36.832448,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301071611300071,20230107122112591381,年货节,唇釉,2023-01-07 12:21:12.677917,2023-01-07 16:11:30.837728,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301071629010072,20230107161217725098,年货节,唇釉,2023-01-07 16:12:17.623210,2023-01-07 16:29:01.924734,4,1,87.5,87.5,地址/收件信息需修改
TK202301071634590073,20230107163131560946,年货节,唇釉,2023-01-07 16:31:31.408779,2023-01-07 16:34:59.112661,5,1,92.0,92.0,优惠券未领到/不满足门槛
TK202301071702570074,20230107062143592488,年货节,唇釉,2023-01-07 06:21:43.174607,2023-01-07 17:02:57.582367,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301071705530075,20230107170216812777,年货节,唇釉,2023-01-07 17:02:16.477618,2023-01-07 17:05:53.291958,1,1,90.0,90.0,地址/收件信息需修改
TK202301071719040076,20230107165757859965,年货节,唇釉,2023-01-07 16:57:57.226492,2023-01-07 17:19:04.315488,2,1,82.5,82.5,忘记使用优惠/凑单重拍
TK202301071722550077,20230107081132994492,年货节,唇釉,2023-01-07 08:11:32.327643,2023-01-07 17:22:55.419824,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301071728330078,20230107075901267046,年货节,唇釉,2023-01-07 07:59:01.057516,2023-01-07 17:28:33.935998,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071745150079,20230107174215136439,年货节,唇釉,2023-01-07 17:42:15.066530,2023-01-07 17:45:15.548251,2,1,82.5,82.5,地址/收件信息需修改
TK202301071755540080,20230107175413936523,年货节,唇釉,2023-01-07 17:54:13.992274,2023-01-07 17:55:54.308087,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301071801410081,20230107160414900886,年货节,唇釉,2023-01-07 16:04:14.965688,2023-01-07 18:01:41.447490,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301071804110082,20230107180258364194,年货节,唇釉,2023-01-07 18:02:58.556722,2023-01-07 18:04:11.859058,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071814560083,20230107161558163438,年货节,唇釉,2023-01-07 16:15:58.765514,2023-01-07 18:14:56.840333,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301071827570084,20230107182543788449,年货节,唇釉,2023-01-07 18:25:43.054816,2023-01-07 18:27:57.497136,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301071832450085,20230107055945645579,年货节,唇釉,2023-01-07 05:59:45.424467,2023-01-07 18:32:45.010534,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071842290086,20230107183830208601,年货节,唇釉,2023-01-07 18:38:30.591074,2023-01-07 18:42:29.817956,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071844100087,20230107184319535578,年货节,唇釉,2023-01-07 18:43:19.616668,2023-01-07 18:44:10.333340,2,2,82.5,165.0,地址/收件信息需修改
TK202301071909160088,20230107190757484240,年货节,唇釉,2023-01-07 19:07:57.899784,2023-01-07 19:09:16.323892,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301071923500089,20230107024417456193,年货节,唇釉,2023-01-07 02:44:17.169617,2023-01-07 19:23:50.336948,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071930520090,20230107190201499197,年货节,唇釉,2023-01-07 19:02:01.256646,2023-01-07 19:30:52.197480,2,1,82.5,82.5,地址/收件信息需修改
TK202301071933360091,20230107193238308763,年货节,唇釉,2023-01-07 19:32:38.884986,2023-01-07 19:33:36.825528,1,1,90.0,90.0,地址/收件信息需修改
TK202301071936460092,20230107190713416643,年货节,唇釉,2023-01-07 19:07:13.490937,2023-01-07 19:36:46.808987,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301071943370093,20230107193922521882,年货节,唇釉,2023-01-07 19:39:22.213259,2023-01-07 19:43:37.017886,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301072011220094,20230107090338191537,年货节,唇釉,2023-01-07 09:03:38.002068,2023-01-07 20:11:22.520765,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301072035290095,20230107203220732499,年货节,唇釉,2023-01-07 20:32:20.239135,2023-01-07 20:35:29.604118,2,1,82.5,82.5,地址/收件信息需修改
TK202301072101420096,20230107205823753444,年货节,唇釉,2023-01-07 20:58:23.075635,2023-01-07 21:01:42.601143,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301072109350097,20230107201848407062,年货节,唇釉,2023-01-07 20:18:48.659936,2023-01-07 21:09:35.748591,2,2,82.5,165.0,忘记使用优惠/凑单重拍
TK202301072109430098,20230107152118282797,年货节,唇釉,2023-01-07 15:21:18.695066,2023-01-07 21:09:43.282980,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301072135030099,20230107184740174643,年货节,唇釉,2023-01-07 18:47:40.230976,2023-01-07 21:35:03.219303,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301072141090100,20230107141159959199,年货节,唇釉,2023-01-07 14:11:59.671197,2023-01-07 21:41:09.700524,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301072154520101,20230107183246182878,年货节,唇釉,2023-01-07 18:32:46.455367,2023-01-07 21:54:52.855440,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301072206220102,20230107220309318796,年货节,唇釉,2023-01-07 22:03:09.756610,2023-01-07 22:06:22.310421,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301072207270103,20230107220628461590,年货节,唇釉,2023-01-07 22:06:28.058830,2023-01-07 22:07:27.732922,2,2,82.5,165.0,地址/收件信息需修改
TK202301072208350104,20230107184605263320,年货节,唇釉,2023-01-07 18:46:05.528561,2023-01-07 22:08:35.843843,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301072214160105,20230107025432322804,年货节,唇釉,2023-01-07 02:54:32.370847,2023-01-07 22:14:16.511382,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301072219000106,20230107205726759315,年货节,唇釉,2023-01-07 20:57:26.573361,2023-01-07 22:19:00.568714,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301072235320107,20230107214504667415,年货节,唇釉,2023-01-07 21:45:04.777325,2023-01-07 22:35:32.731636,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301072246120108,20230107221038620847,年货节,唇釉,2023-01-07 22:10:38.612987,2023-01-07 22:46:12.228835,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301072253530109,20230107225300558109,年货节,唇釉,2023-01-07 22:53:00.694562,2023-01-07 22:53:53.838177,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301072321290110,20230107012804105112,年货节,唇釉,2023-01-07 01:28:04.784223,2023-01-07 23:21:29.530360,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301072328230111,20230107232510465988,年货节,唇釉,2023-01-07 23:25:10.918168,2023-01-07 23:28:23.055910,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301072330290112,20230107232652452445,年货节,唇釉,2023-01-07 23:26:52.269647,2023-01-07 23:30:29.572034,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301072344330113,20230107224443101861,年货节,唇釉,2023-01-07 22:44:43.844218,2023-01-07 23:44:33.600471,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301072355430114,20230107193158819852,年货节,唇釉,2023-01-07 19:31:58.572720,2023-01-07 23:55:43.302093,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080019220115,20230107022230629197,年货节,唇釉,2023-01-07 02:22:30.703544,2023-01-08 00:19:22.834584,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301080101470116,20230108000718520791,年货节,唇釉,2023-01-08 00:07:18.510353,2023-01-08 01:01:47.399097,4,4,87.5,350.0,地址/收件信息需修改
TK202301080116260117,20230108004830593851,年货节,唇釉,2023-01-08 00:48:30.323272,2023-01-08 01:16:26.686469,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301080122270118,20230108011758261396,年货节,唇釉,2023-01-08 01:17:58.561817,2023-01-08 01:22:27.201459,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301080125230119,20230107073140177991,年货节,唇釉,2023-01-07 07:31:40.157272,2023-01-08 01:25:23.769724,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080128120120,20230108012413372338,年货节,唇釉,2023-01-08 01:24:13.116619,2023-01-08 01:28:12.029906,2,2,82.5,165.0,其他
TK202301080151480121,20230108005723491874,年货节,唇釉,2023-01-08 00:57:23.210293,2023-01-08 01:51:48.766613,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080209360122,20230108020453211933,年货节,唇釉,2023-01-08 02:04:53.939508,2023-01-08 02:09:36.391791,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301080254040123,20230108024913942120,年货节,唇釉,2023-01-08 02:49:13.072563,2023-01-08 02:54:04.206444,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301080259050124,20230107085121391854,年货节,唇釉,2023-01-07 08:51:21.052130,2023-01-08 02:59:05.879772,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301080300230125,20230107192911776987,年货节,唇釉,2023-01-07 19:29:11.816631,2023-01-08 03:00:23.368962,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301080302360126,20230108000438884594,年货节,唇釉,2023-01-08 00:04:38.327718,2023-01-08 03:02:36.266136,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301080306270127,20230108021217873020,年货节,唇釉,2023-01-08 02:12:17.274204,2023-01-08 03:06:27.607145,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080320170128,20230107012721547570,年货节,唇釉,2023-01-07 01:27:21.455506,2023-01-08 03:20:17.087114,2,1,82.5,82.5,地址/收件信息需修改
TK202301080329560129,20230108032615578324,年货节,唇釉,2023-01-08 03:26:15.210588,2023-01-08 03:29:56.804697,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080332530130,20230107221025519980,年货节,唇釉,2023-01-07 22:10:25.316278,2023-01-08 03:32:53.701212,2,2,82.5,165.0,其他
TK202301080336450131,20230108033525116395,年货节,唇釉,2023-01-08 03:35:25.272293,2023-01-08 03:36:45.473358,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301080337530132,20230108024308188518,年货节,唇釉,2023-01-08 02:43:08.264367,2023-01-08 03:37:53.775650,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080350370133,20230108025220225218,年货节,唇釉,2023-01-08 02:52:20.474064,2023-01-08 03:50:37.097492,1,1,90.0,90.0,其他
TK202301080416240134,20230107143032749664,年货节,唇釉,2023-01-07 14:30:32.773114,2023-01-08 04:16:24.563344,2,2,82.5,165.0,忘记使用优惠/凑单重拍
TK202301080429020135,20230108032056265880,年货节,唇釉,2023-01-08 03:20:56.707922,2023-01-08 04:29:02.700050,1,1,90.0,90.0,忘记使用优惠/凑单重拍
TK202301080451310136,20230108020949392662,年货节,唇釉,2023-01-08 02:09:49.413747,2023-01-08 04:51:31.746974,2,2,82.5,165.0,优惠券未领到/不满足门槛
TK202301080500380137,20230108045540109770,年货节,唇釉,2023-01-08 04:55:40.538983,2023-01-08 05:00:38.344582,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301080502440138,20230107215325660864,年货节,唇釉,2023-01-07 21:53:25.872627,2023-01-08 05:02:44.512226,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301080528440139,20230108052730956377,年货节,唇釉,2023-01-08 05:27:30.633989,2023-01-08 05:28:44.401985,2,1,82.5,82.5,地址/收件信息需修改
TK202301080537310140,20230108025737760766,年货节,唇釉,2023-01-08 02:57:37.910426,2023-01-08 05:37:31.188791,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301080548090141,20230108054513364705,年货节,唇釉,2023-01-08 05:45:13.699751,2023-01-08 05:48:09.338794,2,1,82.5,82.5,地址/收件信息需修改
TK202301080552030142,20230108052126383481,年货节,唇釉,2023-01-08 05:21:26.241381,2023-01-08 05:52:03.630011,2,1,82.5,82.5,地址/收件信息需修改
TK202301080601060143,20230108055918709823,年货节,唇釉,2023-01-08 05:59:18.265909,2023-01-08 06:01:06.824040,2,2,82.5,165.0,地址/收件信息需修改
TK202301080635300144,20230107100213317566,年货节,唇釉,2023-01-07 10:02:13.039513,2023-01-08 06:35:30.677710,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301080704100145,20230108070118978343,年货节,唇釉,2023-01-08 07:01:18.336248,2023-01-08 07:04:10.919045,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301080710270146,20230108070716274288,年货节,唇釉,2023-01-08 07:07:16.955472,2023-01-08 07:10:27.357367,2,2,82.5,165.0,地址/收件信息需修改
TK202301080726250147,20230108063123414065,年货节,唇釉,2023-01-08 06:31:23.069117,2023-01-08 07:26:25.232641,4,1,87.5,87.5,价格/优惠规则看不懂
TK202301080746060148,20230108074426215446,年货节,唇釉,2023-01-08 07:44:26.527571,2023-01-08 07:46:06.854085,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301080812010149,20230108080833460880,年货节,唇釉,2023-01-08 08:08:33.187753,2023-01-08 08:12:01.811129,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301080821520150,20230108000548406902,年货节,唇釉,2023-01-08 00:05:48.416881,2023-01-08 08:21:52.184013,2,1,82.5,82.5,优惠券未领到/不满足门槛
TK202301080824200151,20230108082230750093,年货节,唇釉,2023-01-08 08:22:30.324097,2023-01-08 08:24:20.176752,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301080856110152,20230108081618870186,年货节,唇釉,2023-01-08 08:16:18.302137,2023-01-08 08:56:11.908478,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301080856400153,20230108083844315954,年货节,唇釉,2023-01-08 08:38:44.133113,2023-01-08 08:56:40.533396,2,1,82.5,82.5,忘记使用优惠/凑单重拍
TK202301080859100154,20230108082534640359,年货节,唇釉,2023-01-08 08:25:34.923313,2023-01-08 08:59:10.406655,4,1,87.5,87.5,拍错/改变主意/重复下单
TK202301080914530155,20230108084649629324,年货节,唇釉,2023-01-08 08:46:49.679217,2023-01-08 09:14:53.610924,1,1,90.0,90.0,价格/优惠规则看不懂
TK202301080919430156,20230108085402198584,年货节,唇釉,2023-01-08 08:54:02.074573,2023-01-08 09:19:43.890059,2,2,82.5,165.0,地址/收件信息需修改
TK202301081004030157,20230108100306729220,年货节,唇釉,2023-01-08 10:03:06.665061,2023-01-08 10:04:03.164160,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301081009000158,20230108083842918940,年货节,唇釉,2023-01-08 08:38:42.626587,2023-01-08 10:09:00.298676,6,1,95.0,95.0,拍错/改变主意/重复下单
TK202301081039500159,20230108090123975194,年货节,唇釉,2023-01-08 09:01:23.479617,2023-01-08 10:39:50.874495,2,1,82.5,82.5,拍错/改变主意/重复下单
TK202301081041530160,20230108103759153325,年货节,唇釉,2023-01-08 10:37:59.970816,2023-01-08 10:41:53.494713,1,1,90.0,90.0,拍错/改变主意/重复下单
TK202301081042450161,20230108074707926944,年货节,唇釉,2023-01-08 07:47:07.683625,2023-01-08 10:42:45.987714,2,2,82.5,165.0,拍错/改变主意/重复下单
TK202301081044400162,20230108103025867281,年货节,唇釉,2023-01-08 10:30:25.283314,2023-01-08 10:44:40.911993,2,2,82.5,165.0,价格/优惠规则看不懂
TK202301081049160163,20230108104509722341,年货节,唇釉,2023-01-08 10:45:09.575655,2023-01-08 10:49:16.857064,2,2,82.5,165.0,地址/收件信息需修改
TK202301081117300164,20230108090552414010,年货节,唇釉,2023-01-08 09:05:52.675092,2023-01-08 11:17:30.850974,2,2,82.5,165.0,地址/收件信息需修改
TK202301081130510165,20230108103454252196,年货节,唇釉,2023-01-08 10:34:54.809612,2023-01-08 11:30:51.214807,1,1,90.0,90.0,优惠券未领到/不满足门槛
TK202301081140180166,20230108113711489995,年货节,唇釉,2023-01-08 11:37:11.319108,2023-01-08 11:40:18.793076,1,1,90.0,90.0,拍错/改变主意/重复下单
